priority,score,table,column,data_type,nullable,null_pct,row_count,in_model,in_serializer,in_views
MEDIUM,30,sl_org_area_parent_bndry,area,numeric,YES,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,dimension_2d_3d,character varying,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,date_modified,timestamp with time zone,YES,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,org_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,geom,USER-DEFINED,NO,100.0,0,True,True,True
MEDIUM,30,sl_org_area_parent_bndry,reference_coordinate,USER-DEFINED,YES,100.0,0,True,True,True
MEDIUM,30,survey_rep_func_history,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,survey_rep_func_history,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,survey_rep_func_history,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,survey_rep_func_history,user_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,tags,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,tags,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,test_list,id,integer,NO,100.0,0,True,True,True
MEDIUM,30,test_list,permission_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,test_list,username,character varying,YES,100.0,0,True,True,True
MEDIUM,30,test_list,remark,character varying,YES,100.0,0,True,True,True
MEDIUM,30,user_user,last_login,timestamp with time zone,YES,0.0,15,False,True,True
MEDIUM,30,user_user_groups,id,bigint,NO,100.0,0,True,True,True
MEDIUM,30,user_user_groups,user_id,bigint,NO,100.0,0,True,True,True
MEDIUM,30,user_user_user_permissions,id,bigint,NO,100.0,0,True,True,True
MEDIUM,30,user_user_user_permissions,user_id,bigint,NO,100.0,0,True,True,True
MEDIUM,30,user_user_user_permissions,permission_id,integer,NO,100.0,0,True,True,True
MEDIUM,25,assessment,external_ass_id,character varying,YES,66.9,10697,True,False,False
MEDIUM,25,assessment,ass_road,character varying,YES,66.9,10697,True,False,False
MEDIUM,25,assessment,su_id,integer,YES,99.7,10697,True,True,True
MEDIUM,25,city_json,created_at,timestamp with time zone,NO,0.0,8,True,False,False
MEDIUM,25,la_ls_build_unit,surface_relation,character varying,YES,5.7,53,True,False,False
MEDIUM,25,la_ls_build_unit,hight,numeric,YES,5.7,53,True,False,False
MEDIUM,25,la_ls_land_unit,access_road,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,ext_landuse_type,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,sl_land_type,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,area,numeric,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,dimension_2d_3d,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,boundary_type,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,crs,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,perimeter,numeric,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,tenure_type,character varying,YES,99.9,3576,True,True,True
MEDIUM,25,la_ls_land_unit,su_id,integer,YES,99.0,3576,True,True,True
MEDIUM,25,la_ls_utinet_lu,water,character varying,YES,99.2,10698,True,True,True
MEDIUM,25,la_ls_utinet_lu,elec,character varying,YES,99.2,10698,True,True,True
MEDIUM,25,la_ls_utinet_lu,drainage,character varying,YES,99.2,10698,True,True,True
MEDIUM,25,la_ls_utinet_lu,sani_gully,character varying,YES,99.2,10698,True,True,True
MEDIUM,25,la_ls_utinet_lu,garbage_dispose,character varying,YES,99.2,10698,True,True,True
MEDIUM,25,la_ls_utinet_lu,su_id,integer,YES,99.7,10698,True,True,True
MEDIUM,25,la_rrr,ba_unit_id,integer,YES,96.8,63,True,True,True
MEDIUM,25,la_spatial_unit,label,character varying,YES,99.5,10748,True,True,True
MEDIUM,25,layers,colour,character varying,NO,0.0,27,True,False,False
MEDIUM,25,survey_rep,parent_id,ARRAY,YES,99.7,3574,True,True,True
MEDIUM,25,survey_rep,date_modified,timestamp with time zone,YES,99.9,3574,True,True,True
MEDIUM,25,survey_rep,reference_coordinate,character varying,YES,99.9,3574,True,True,True
